cg_poly

5 atom types
3 bond types

406 atoms
9 bonds

0.000000 69.873901 xlo xhi
0.000000 69.873901 ylo yhi
0.000000 69.873901 zlo zhi

Masses

1 344.000000 # SOL
2 29.000000 # B4
3 104.000000 # B3
4 105.000000 # B1
5 28.000000 # B2

Atoms

309 62 1  11.904140 24.415291 30.354622
310 62 1  62.406456 64.431084 7.718066
311 63 1  56.618244 33.737297 1.394997
312 63 1  9.020101 6.362402 69.557213
313 63 1  23.207949 53.226173 56.481270
314 63 1  39.421135 14.127789 7.323079
315 63 1  69.131622 57.386684 42.852791
316 64 1  43.972500 31.803720 6.811989
317 64 1  13.207013 15.137646 31.725843
318 64 1  51.846481 64.619873 27.625378
319 64 1  42.425610 12.381234 1.429080
320 64 1  46.356453 45.397522 18.413908
321 65 1  61.938080 5.641845 9.984083
322 65 1  4.568601 56.690418 40.816338
323 65 1  35.030937 15.207077 13.484032
324 65 1  8.523134 65.677925 21.315174
325 65 1  17.369316 39.184273 37.730495
326 66 1  55.436905 58.390308 24.248924
327 66 1  52.428749 23.632919 0.603776
328 66 1  40.959824 26.547297 52.237522
329 66 1  20.395407 59.285538 27.946018
330 66 1  19.739025 26.319256 10.549505
331 67 1  20.128721 61.705132 3.560449
332 67 1  28.410582 45.153458 57.648476
333 67 1  67.086182 11.038633 19.746370
334 67 1  66.314781 5.914519 24.199112
335 67 1  14.873240 31.344187 51.673477
336 68 1  33.084709 27.419708 22.983982
337 68 1  27.051046 12.923575 54.658348
338 68 1  65.564629 20.967791 68.561646
339 68 1  10.585158 17.748882 53.477402
340 68 1  61.536194 64.098732 69.235481
341 69 1  30.550348 48.515640 28.774012
342 69 1  0.238993 58.179970 38.289650
343 69 1  37.122414 51.606743 12.109577
344 69 1  30.896889 24.542995 56.748623
345 69 1  25.747704 56.361889 20.252193
346 70 1  61.333611 64.863472 46.245785
347 70 1  41.906803 18.952688 27.667263
348 70 1  28.890263 31.626047 45.485233
349 70 1  53.135742 8.234610 9.888065
350 70 1  69.670265 69.335320 20.826077
351 71 1  65.638710 27.948879 23.677528
352 71 1  49.072750 29.956861 40.887138
353 71 1  35.179359 18.325304 25.016220
354 71 1  53.569321 4.747455 35.557209
355 71 1  16.054119 64.967651 9.181046
356 72 1  57.319942 63.894405 17.895000
357 72 1  59.318043 19.296816 44.155437
358 72 1  57.173824 31.996773 1.505782
359 72 1  59.420910 11.995015 37.751804
360 72 1  1.330084 29.308313 60.240997
361 73 1  17.190002 21.638763 68.420807
362 73 1  43.957531 45.328255 28.152529
363 73 1  15.550595 17.273968 0.694702
364 73 1  27.611383 21.747471 42.221771
365 73 1  4.826323 45.367592 2.842875
366 74 1  12.481670 7.637222 13.684244
367 74 1  16.590681 69.408203 46.031586
368 74 1  43.935959 4.936671 10.172144
369 74 1  9.737497 61.372341 2.837978
370 74 1  62.084084 8.235768 61.997177
371 75 1  23.118837 40.673458 68.913239
372 75 1  23.958080 69.689507 4.919212
373 75 1  12.709157 63.558781 58.592907
374 75 1  14.854084 2.158514 42.468605
375 75 1  21.746307 6.520025 33.688255
376 76 1  66.169044 28.138838 59.435394
377 76 1  41.677937 69.762154 44.291191
378 76 1  0.069781 43.474854 11.758446
379 76 1  22.416716 12.273327 18.886204
380 76 1  11.182688 12.555444 63.816528
381 77 1  36.621868 30.406860 66.067253
382 77 1  17.447733 53.331963 56.604069
383 77 1  36.051426 51.878403 40.365231
384 77 1  50.523895 56.531441 68.202507
385 77 1  67.739235 30.343189 43.979523
386 78 1  14.290239 69.025581 4.945462
387 78 1  6.393444 50.300583 33.651585
388 78 1  55.154495 30.418169 6.705834
389 78 1  40.607208 2.007190 65.319778
390 78 1  48.808414 33.372269 13.989070
391 79 1  49.554749 8.534560 5.217583
392 79 1  2.098195 0.556777 28.508081
393 79 1  57.776745 29.056396 50.811455
394 79 1  14.563546 67.444214 12.415739
395 79 1  13.337680 45.856133 22.333740
396 80 1  16.962368 16.803663 62.883900
397 80 1  48.533836 6.982164 47.328949
398 80 1  58.561352 9.079416 52.143620
399 80 1  4.401944 29.603750 22.749941
400 80 1  14.203327 13.575174 62.719685
401 81 1  37.782589 6.252485 33.295959
402 81 1  36.235870 19.333168 55.646629
403 81 1  19.789000 16.813982 69.094948
404 81 1  0.454035 14.781525 27.683168
405 81 1  24.795349 67.445129 39.614086
406 82 1  67.175262 12.235507 28.733335

Bonds

1 1 1 2
2 2 2 3
3 2 3 4
4 2 4 5
5 2 5 6
6 2 6 7
7 2 7 8
8 2 8 9
9 3 9 10
