cg_poly

5 atom types
3 bond types

1594 atoms
9 bonds

0.000000 69.873901 xlo xhi
0.000000 69.873901 ylo yhi
0.000000 69.873901 zlo zhi

Masses

1 86.000000 # SOL
2 29.000000 # B4
3 104.000000 # B3
4 105.000000 # B1
5 28.000000 # B2

Atoms

366 74 1  39.991047 40.236977 43.727211
367 74 1  11.505233 52.577328 40.771862
368 74 1  24.549070 32.014069 45.045349
369 74 1  35.009186 32.466396 32.002441
370 74 1  4.086047 15.072558 3.125814
371 75 1  21.896976 49.289070 69.178719
372 75 1  49.994652 23.551628 26.641861
373 75 1  29.682442 20.329302 68.357330
374 75 1  8.906628 10.464069 24.646627
375 75 1  51.734070 67.570816 28.072674
376 76 1  33.321629 23.367210 20.804651
377 76 1  58.085930 33.032673 49.635929
378 76 1  66.846977 65.181160 67.634651
379 76 1  2.778023 55.506863 10.562442
380 76 1  3.558837 21.438255 19.602442
381 77 1  52.206860 2.954302 38.005116
382 77 1  37.892208 28.440929 9.972791
383 77 1  68.682205 22.664186 48.461163
384 77 1  11.889302 52.694653 31.536861
385 77 1  66.880348 13.223721 50.783604
386 78 1  49.546165 60.498722 61.607792
387 78 1  48.859886 4.352325 30.073954
388 78 1  64.525581 48.910465 35.026745
389 78 1  63.390697 52.514069 2.076279
390 78 1  7.583721 30.054419 46.253021
391 79 1  41.208721 23.717093 10.800117
392 79 1  45.321743 35.006859 58.996510
393 79 1  44.740002 5.910233 52.853024
394 79 1  69.621223 59.451744 13.573139
395 79 1  62.071396 33.656979 8.774535
396 80 1  59.552910 30.902790 20.893372
397 80 1  28.700232 43.010231 22.900116
398 80 1  13.658954 23.203953 63.309536
399 80 1  55.386280 29.084883 25.777676
400 80 1  42.061745 39.849651 19.824303
401 81 1  6.208488 53.633022 39.118256
402 81 1  14.554651 41.310814 43.988373
403 81 1  1.697674 61.067673 56.310932
404 81 1  18.879303 61.508373 55.187908
405 81 1  30.490582 25.743605 16.552673
406 82 1  47.439537 5.098605 0.251743
407 82 1  34.383839 0.001099 5.302209
